Species	S12K_1	S3M_1	SMS_1	S3S_1	STS_1	S3T_1	SKM_1	SLT_1	S3L_1	S12K_2	S3M_2	SMS_2	S3S_2	STS_2	S3T_2	SKM_2	SLT_2	S3L_2	S12K_3	S3M_3	SMS_3	S3S_3	STS_3	S3T_3	SKM_3	SLT_3	S3L_3	Class
Ulnaria_acus_Bacillariophyceae	97	98.4	0.5	66.4	69.3	58.6	76	48.5	57.4	4.4	0.4	0.13	1.599	25.818	15.028	6.435	10.53	13.338	21.05	8.778	32.637	32.208	348.975	810.612	661.254	18.315	40.293	Bacillariophyceae
Fragilaria_radians_Bacillariophyceae	4.1	5.2	0	2.1	0.7	0.6	0.8	0	1.8	44.7	2	1.43	12.922	15.821	16.289	2.886	4.16	3.341	170.28	79.002	218.46	197.802	38.775	70.488	65.373	591.855	463.584	Bacillariophyceae
Nitzschia_graciliformis_Bacillariophyceae	11.751	0	10.029	3.571	4.533	7.087	0	2.55	0	0.515	0.175	0.164	0.357	1.331	0.545	0.169	0	1.613	21.3	17.78	36.93	37.08	0.32	0.6	0	0	0.1	Bacillariophyceae
Aulacoseira_baicalensis_Coscinodiscophyceae	0	0	0	14.098	2.361	17.967	20.183	2.277	17.818	8.591	8.769	0	0	0	9.091	0	8.854	0	33.6	2.74	73.86	19.6	52.82	92.7	2.23	6.8	0	Coscinodiscophyceae
Aulacoseira_islandica_Coscinodiscophyceae	0	0	0.759	1.01	0	9.442	0	11.292	0	31.4	11.312	0	7.684	103.74	95.773	136.064	87.568	69.34	0	0	6.35	3.61	531.51	30.7	0	7.1	0	Coscinodiscophyceae
Stephanodiscus_meyeri_Mediophyceae	0	0	0	0	0	0	0	0	0	0	0	2.955	5.361	350.404	173.455	359.968	587.563	386.136	0	0	0	0	0	151.7	4.69	0	1.2	Mediophyceae
Lindavia_minuta_Mediophyceae	3.183	1.046	0	3.665	1.841	0	2.624	0	1.247	1.117	1.14	2.134	2.323	2.163	4.727	2.194	6.906	6.67	0	0.71	0	0.73	0	0.9	0.58	2.1	0	Mediophyceae
Lindavia_baicalensis_Mediophyceae	0	0	0	0	0	5.989	0	0	0	0	4.384	0	0	0	5.182	0	5.047	10.445	0	0	0	0	0	0	0	0	5.8	Mediophyceae
Dinobryon_cylindricum_Chrysophyceae	0.318	0	0	2.749	17.494	0	24.599	3.506	14.928	324.055	149.245	62.301	199.333	563.5	360.682	248.417	187.354	210.733	5.5	6.42	10.88	4.73	8.24	32	1.16	14.2	10.2	Chrysophyceae
Dinobryon_cylindricum_var_palustre_Chrysophyceae	0	0	0	0	0	0	0	0	0	0	0	6.936	26.938	128.032	81.818	51.261	0	3.298	1.1	0	1.6	0	0.34	0	0	0	3.8	Chrysophyceae
Dinobryon_divergens_Chrysophyceae	0	0	0	0	0	0	0	0	0	0.387	5.13	4.802	12.062	0	0	6.835	7.172	1.649	0	0	0	0	0	0	0.4	3	0	Chrysophyceae
Dinobryon_sociale_Chrysophyceae	0	0	0	0	0	0	0	0	0	0.258	0	0.739	0.804	0.624	0	3.038	0	37.822	0	0	0	0	8.19	1.9	2.14	1.3	0.2	Chrysophyceae
Stomatocysts_Chrysophyceae	0.64	0.626	1.201	1.229	0.617	1.14	0.396	0.595	4.213	0	0.303	0	1.541	14.542	7.527	2.911	5.6	0	0.3	0	0	0	0.24	0	0.2	0	0	Chrysophyceae
